"","ID","Timepoint","saccade_bin","n()","avg_peak","sd_peak","avg_meanvel","sd_meanvel"
"1","AL","1_1","5-15",42,295.3485,114.942239066294,176.102880952381,57.3922944760826
"2","AL","1_1","20-30",38,499.288736842105,98.1851167057588,300.436789473684,30.9148872413223
"3","AL","1_1","30-40",30,519.149233333333,98.6215767025072,323.922166666667,43.4285759705903
"4","AL","1_2","5-15",49,327.517102040816,77.0167118483182,207.374653061224,53.4515591250429
"5","AL","1_2","20-30",39,473.192282051282,64.0920763761624,303.625641025641,31.8163289229116
"6","AL","1_2","30-40",25,530.47764,72.425249842441,345.69672,40.4068686781922
"7","AL","2_1","5-15",43,307.835697674419,90.3116958089184,181.726255813953,57.7934872694695
"8","AL","2_1","20-30",39,462.626794871795,92.8618684822217,277.562538461538,34.6804611499162
"9","AL","2_1","30-40",33,488.261848484848,57.1818539382913,315.023545454545,49.2803285684885
"10","AL","2_2","5-15",38,312.175315789474,102.675392639265,175.389473684211,53.9855679617056
"11","AL","2_2","20-30",46,486.064891304348,85.3542827795427,293.95,33.3502298929274
"12","AL","2_2","30-40",27,524.244962962963,95.5304850487656,313.697888888889,36.8560305349731
"13","DC","1_2","5-15",39,269.050846153846,77.2911474819786,165.987128205128,40.1775754902235
"14","DC","1_2","20-30",35,408.155142857143,94.1710424875124,227.897657142857,26.5176495353376
"15","DC","1_2","30-40",21,421.866476190476,75.2663889525856,229.617904761905,16.905666798162
"16","DC","2_1","5-15",42,268.444904761905,84.8639907254212,165.819357142857,55.9281152385598
"17","DC","2_1","20-30",41,396.761146341463,93.6054754623256,249.245268292683,23.9632287828919
"18","DC","2_1","30-40",31,422.395161290323,68.3055867369069,243.291290322581,13.7108136986676
"19","DC","2_2","5-15",45,250.649577777778,78.5080812697558,152.202066666667,54.413297413241
"20","DC","2_2","20-30",46,386.51202173913,57.5833886677936,236.927608695652,27.1444517297761
"21","DC","2_2","30-40",28,402.230392857143,71.0432870701295,233.574107142857,28.9291890763935
"22","ER","1_1","5-15",45,327.047711111111,108.180018443716,197.955644444444,61.9013502181112
"23","ER","1_1","20-30",39,527.627769230769,133.708055596485,290.168076923077,47.5796609760851
"24","ER","1_1","30-40",10,663.8126,150.505405313194,313.045,36.1307062636632
"25","ER","1_2","5-15",49,318.534204081633,85.1396627902696,202.144163265306,62.3668472398554
"26","ER","1_2","20-30",26,437.570769230769,48.5476688019581,281.323,45.5845647999408
"27","ER","1_2","30-40",19,511.747473684211,138.484954142386,286.135421052632,27.4637383700273
"28","ER","2_1","5-15",29,369.772379310345,101.579812044665,241.488482758621,62.5162469355085
"29","ER","2_1","20-30",28,538.925607142857,117.745594541584,334.281571428571,52.373333629235
"30","ER","2_1","30-40",21,560.480095238095,117.847834187101,340.050857142857,49.7728482681931
"31","ER","2_2","5-15",36,327.577833333333,65.3870217566147,215.079166666667,40.7151256109359
"32","ER","2_2","20-30",30,490.6948,71.3703790867969,289.687066666667,26.8926019309417
"33","ER","2_2","30-40",12,550.379916666667,62.9199982524104,296.43625,35.602394158833
"34","HB","1_1","5-15",44,304.448181818182,82.6374807117495,202.00775,59.2837090329501
"35","HB","1_1","20-30",44,531.589522727273,115.562443608295,318.872090909091,37.3090953552093
"36","HB","1_1","30-40",28,566.276428571429,96.9386228559955,341.139,29.6615838317411
"37","HB","1_2","5-15",43,319.173534883721,93.3894412233878,195.19123255814,53.1082069578513
"38","HB","1_2","20-30",33,571.226666666667,177.931847885937,302.862060606061,48.2140395255491
"39","HB","1_2","30-40",20,741.19325,194.538342600839,327.30905,39.1308253581226
"40","HB","2_1","5-15",41,298.532097560976,122.706888743624,184.456804878049,53.8922417325627
"41","HB","2_1","20-30",40,494.8988,138.003137939835,293.462075,48.2729606877218
"42","HB","2_1","30-40",28,535.080357142857,116.95889851036,308.716821428571,52.7793905288472
"43","HB","2_2","5-15",37,325.105216216216,105.970641061343,183.553648648649,58.9059787727755
"44","HB","2_2","20-30",29,516.986344827586,85.5158937968659,316.909344827586,35.235106446631
"45","HB","2_2","30-40",26,700.726076923077,160.976032858043,348.158192307692,36.3207546595819
"46","HC","1_1","5-15",46,324.196391304348,105.187714102082,214.199586956522,49.0850170543477
"47","HC","1_1","20-30",53,451.164566037736,61.4431810025482,291.752641509434,31.1234559883294
"48","HC","1_1","30-40",13,505.666230769231,74.4983920801358,314.670153846154,40.4370192065104
"49","HC","1_2","5-15",51,311.783803921569,82.6147705689532,215.413019607843,51.5895476807038
"50","HC","1_2","20-30",54,452.746037037037,89.8874439255578,295.637537037037,33.1617347412009
"51","HC","1_2","30-40",14,595.5975,138.5741434727,336.085857142857,26.006026744871
"52","HC","2_1","5-15",53,320.188924528302,71.8171170213858,216.282547169811,55.432016422602
"53","HC","2_1","20-30",48,468.907041666667,80.7758404825218,303.427375,31.161533061613
"54","HC","2_1","30-40",18,517.840166666667,76.1439652409674,323.794666666667,37.4892072955279
"55","HC","2_2","5-15",53,304.809981132075,78.4724217581934,196.925981132075,43.361679268012
"56","HC","2_2","20-30",38,414.813631578947,70.9666880922276,267.513447368421,31.4493127718473
"57","HC","2_2","30-40",3,519.888333333333,89.1012838815095,292.571333333333,21.5258546249233
"58","HJ","1_1","5-15",43,383.18223255814,113.885583250583,251.636209302326,77.5308795241514
"59","HJ","1_1","20-30",39,647.768358974359,118.483406884341,402.251871794872,54.975067707854
"60","HJ","1_1","30-40",30,666.687466666667,127.547972983186,400.978633333333,42.3865370960975
"61","HJ","1_2","5-15",42,393.877380952381,96.1322483213347,264.903619047619,59.5962205034041
"62","HJ","1_2","20-30",46,610.937282608696,103.89194892337,390.814913043478,61.5040263187256
"63","HJ","1_2","30-40",27,655.207333333333,94.5912387616397,399.064925925926,44.1830339182935
"64","HJ","2_1","5-15",44,377.940272727273,135.081530969756,225.332,87.5141687566236
"65","HJ","2_1","20-30",43,631.810325581395,157.38519098192,356.006255813953,68.7092433215062
"66","HJ","2_1","30-40",26,704.420269230769,134.292338059491,379.271038461538,51.7978663301729
"67","HJ","2_2","5-15",39,370.988358974359,106.013466270859,218.93158974359,59.3128398856516
"68","HJ","2_2","20-30",42,625.061261904762,122.967123442845,380.027095238095,54.006581662956
"69","HJ","2_2","30-40",29,662.837655172414,103.363387422128,377.669448275862,34.6901833176664
"70","JO","1_1","5-15",53,349.660943396226,107.717723678142,218.360433962264,64.9112559000332
"71","JO","1_1","20-30",39,497.105051282051,97.5920092376929,313.057692307692,43.0512138780838
